Term	Freq	Standardized	CUI	SemanticType
star fruit	2	STAR FRUIT	C4019045	"[orch, phsu]"
statins	2	Statins	C0360714	"[orch, phsu]"
sterilized	2	STERILIZE	C0038280	[topp]
stimulant	2	Stimulant	C0304402	[phsu]
strokes	2	Strokes	C0038454	[dsyn]
structural abnormalities	2	STRUCTURAL Abnormalities	C0749075	[fndg]
structural abnormality	2	STRUCTURAL Abnormality	C0749075	[fndg]
study drugs	2	study drug	C0013175	[resa]
study medication	2	Medication	C0013227	[phsu]
subcortical disease	2	Disease	C0012634	[dsyn]
subcortical lacunar infarcts	2	Lacunar Infarcts	C0333559	[dsyn]
subjective memory complaints	2	complaints	C0277786	[fndg]
substance abuse/dependence	2	Dependence	C0439857	[mobd]
substantial memory complaints	2	complaints	C0277786	[fndg]
sudden death	2	Sudden death	C1964022	[fndg]
suicidal behavior	2	Suicidal behaviour	C1760428	[fndg]
suicide attempt	2	Suicide Attempt	C1547270	[inpr]
sulindac sulfide	2	Sulindac Sulfide	C0075615	"[orch, phsu]"
supine heart rate	2	Heart Rate	C0018810	[clna]
supplements	2	Supplement	C2348609	[ftcn]
supranuclear palsy	2	Supranuclear palsy	C0270920	[dsyn]
surgery involving metal implants	2	Implants	C2926601	[clna]
surgical clips	2	Surgical Clips	C0038917	[medd]
symptomatic cardiovascular disease	2	Cardiovascular Disease	C0007222	[dsyn]
symptomatic orthostatic hypotension	2	"HYPOTENSION, ORTHOSTATIC"	C0020651	[fndg]
systemic steroids	2	"Steroid, Systemic"	C2825233	[orch]
systolic	2	Systolic	C0039155	[tmco]
tfts	2	TFT	C2827459	[gngm]
therapy	2	Therapy	C0087111	[topp]
thrombocytopenia	2	thrombocytopaenia	C0040034	[fndg]
thyroid	2	"Thyroid, NOS"	C0040132	[bpoc]
thyroid replacement therapy	2	Replacement Therapy	C0279033	[topp]
thyroid stimulating hormone	2	Thyroid Stimulating Hormone	C2825077	[phsu]
thyroid tests	2	test	C0392366	[inpr]
"thyroid, parathyroid or pituitary disease"	2	"Disease, Pituitary"	C0032002	[dsyn]
tms treatment	2	Treatment	C0087111	[topp]
tobacco- or nicotine-containing products	2	Containing	C0332256	[ftcn]
total bilirubin values	2	Values	C0042295	[qlco]
treatment procedure	2	Procedure	C0184661	[topp]
tricyclics	2	Tricyclics	C0003290	[phsu]
tropicamide	2	TROPICAMIDE	C0041190	"[orch, phsu]"
unipolar and bipolar disorders	2	BIPOLAR DISORDERS	C0005586	[mobd]
urine drug test	2	Urine Drug Test	C0202274	[lbpr]
urine or blood pregnancy test	2	blood pregnancy test	C0850355	[lbpr]
urine or serum pregnancy test	2	Serum pregnancy test NOS	C0430064	[lbpr]
uti	2	UTI	C0077906	"[aapp, phsu]"
vascular	2	Vascular	C0005847	[bpoc]
vascular disease	2	"Disease, Vascular"	C0042373	[dsyn]
vascular disorders	2	Vascular Disorders	C0042373	[dsyn]
vascular surgery	2	Vascular surgery	C0042381	[topp]
ventricular fibrillation	2	Ventricular fibrillation	C1962976	[patf]
ventricular tachycardia	2	Ventricular tachycardia	C1963247	[fndg]
viral hepatitis	2	Viral hepatitis	C1963279	[fndg]
viral infection	2	"Infection, Viral"	C0042769	[dsyn]
vision	2	Vision	C0042789	[orgf]
visual and auditory abilities	2	Abilities	C0085732	[orga]
vitamin	2	Vitamin	C0042890	"[orch, phsu, vita]"
vitamin b12 level	2	Vitamin B12 level	C0427407	[lbtr]
washout	2	WASHOUT	C1710661	[tmco]
wbc	2	WBC	C0023516	[cell]
weight loss	2	Weight loss	C2911645	[patf]
#NAME?	1	glutamyltransferase	C0678107	"[aapp, enzy]"
#NAME?	1	GT	C1435727	"[aapp, bacs]"
#NAME?	1	Inhibitor	C1999216	[qlco]
conventional antipsychotic	1	Antipsychotic	C0040615	[phsu]
epileptiform baseline eeg	1	"EEG, NOS"	C0013819	[diap]
mixed dementia	1	dementia	C0011265	[mobd]
[18f]flutemetamol	1	FLUTEMETAMOL	C2983917	"[irda, orch]"
11c pib-pet imaging	1	Imaging	C0079595	[diap]
12 -lead ekg	1	12 lead ekg	C0430456	[diap]
12 lead ecg	1	12 lead ECG	C0430456	[diap]
12-lead electrocardiogram	1	12 lead electrocardiogram	C0430456	[diap]
15 wlt	1	unmapped	unmapped	unmapped
1st degree heart block	1	1st degree heart block	C0085614	[dsyn]
2nd or 3rd degree heart block	1	3rd Degree Heart Block	C2215935	[fndg]
3aps	1	3AP	C0210403	"[orch, phsu]"
3ms-r	1	R-	C0205090	[spco]
3t mri	1	3T MRI	C2985394	[diap]
60 item naming section of the boston diagnostic aphasia	1	APHASIA	C0003537	[mobd]
95% ci	1	CI	C0008107	[geoa]
aami	1	unmapped	unmapped	unmapped
abdominal surgery	1	Abdominal Surgical	C0198482	[topp]
"abdominal, cranial or neck radiotherapy"	1	neck Radiotherapy	C0746818	[topp]
aberrant motor behavior	1	Motor behaviour	C0026606	[dora]
abnormal findings	1	Abnormal Finding	C2826279	[fndg]
abnormal thyroid function	1	Abnormal thyroid function	C0857576	[fndg]
abnormalities in b12 or tfts	1	tft	C0040130	[lbpr]
aboratory finding	1	Finding	C2825141	[fndg]
abpm	1	unmapped	unmapped	unmapped
abpm measurement	1	MEASUREMENT	C0242485	[ftcn]
abscess	1	Abcess	C1550609	[bdsu]
absolute neutrophil count	1	Absolute Neutrophil Count	C0948762	[lbpr]
absolute neutrophil count (anc)	1	Absolute Neutrophil Count	C0948762	[lbpr]
absolute neutrophils count	1	Count	C0750480	[qnco]
absorptiometry	1	unmapped	unmapped	unmapped
absorption distribution	1	Distribution	C1704711	[ftcn]
abuse of alcohol	1	ALCOHOL	C0001962	"[orch, phsu]"
abuse of alcohol and drugs	1	Drugs	C0013227	[phsu]
"abuse of alcohol, medication or drugs"	1	Drugs	C0013227	[phsu]
abuse of drugs or alcohol	1	ALCOHOL	C0001962	"[orch, phsu]"
abuse of other substances	1	Substances	C0439861	[sbst]
ace score	1	SCORE	C0449820	[qnco]
acethylcholinesterae inhibitor	1	Inhibitor	C1999216	[qlco]
acetylcholine esterase inhibitors	1	Acetylcholinesterase Inhibitors	C0001046	[phsu]
acetylcholinesterase inhibitor ( achei )	1	Acetylcholinesterase Inhibitor	C0001046	[phsu]
acetylsalicylic acid	1	Acetylsalicylic Acid	C0004057	"[orch, phsu]"
achalasia	1	ACHALASIA	C0014848	[dsyn]
ache inhibitor	1	Inhibitor	C1999216	[qlco]
ache inhibitors	1	inhibitors	C0243077	[chvf]
ache inhibitors+/-memantine	1	MEMANTINE	C0025242	"[orch, phsu]"
acitretin	1	ACITRETIN	C0050559	"[orch, phsu]"
acquired immune deficiency syndrome ( aids )	1	ACQUIRED IMMUNE DEFICIENCY SYNDROME	C0001175	[dsyn]
actigraphy recording	1	Actigraphy	C1171301	[diap]
active peptic ulcer	1	Active Peptic Ulcer	C1706705	[dsyn]
acute coronary syndrome	1	Acute Coronary Syndrome	C0948089	[dsyn]
ad (alzheimer's disease)	1	Alzheimer's Disease	C1521724	[patf]
ad immunization study	1	Study	C2603343	[resa]
ad immunotherapy	1	IMMUNOTHERAPY	C0021083	[topp]
ad medication(s)	1	S'	C2603362	[clna]
ad pathology	1	pathology	C0205469	[ftcn]
ad treatments	1	Treatments	C0087111	[topp]
ad vaccine study	1	Study	C2603343	[resa]
adas-cog	1	ADAS-COG	C3539026	[inpr]
adderall	1	Adderall	C0290795	"[orch, phsu]"
additional diseases	1	Diseases	C0012634	[dsyn]
additives of sunphenon egcg	1	EGCG	C0059438	"[orch, phsu]"
adni-go	1	GO	C1822658	[gngm]
adni1	1	unmapped	unmapped	unmapped
adult asthma	1	#NAME?	C0004096	[dsyn]
adverse effects	1	Adverse effects	C0879626	[patf]
adverse reactions	1	Adverse reactions	C0559546	[patf]
adverse renal effects	1	Renal	C0022646	[bpoc]
advil	1	Advil	C0593507	"[orch, phsu]"
af	1	AF	C0344434	[lbtr]
age associated memory impairment	1	Age-associated memory impairment	C0338657	[dsyn]
age of cognitive symptom onset	1	Onset	C0206132	[qnco]
age of onset	1	Onset	C0206132	[qnco]
age-associated memory impairment	1	Age-associated memory impairment	C0338657	[dsyn]
age-related disorders	1	Disorders	C0012634	[dsyn]
age-related white matter changes (arwmc) scale	1	Scale	C0349674	[inpr]
agent	1	Agent	C1254351	[phsu]
agitation symptoms	1	symptoms	C0683368	[ftcn]
agitation/aggression item of the npi-nh	1	NH	C0042321	[geoa]
agitation/aggression subscale	1	Aggression	C0001807	[mobd]
aids or hiv infection	1	HIV Infection	C0019693	[dsyn]
aids related complications	1	AIDS-related complications	C0877121	[dsyn]
akinesia	1	AKINESIA	C0085623	[dsyn]
alanine aminotranferase ( alt )	1	ALT	C1266129	[neop]
alanine aminotransferase ( alt )	1	ALT	C1266129	[neop]
alanine aminotransferase (alt)	1	ALT	C1266129	[neop]
alanine transaminase ( alt )	1	Alanine Transaminase	C0001899	"[aapp, enzy]"
albinism	1	Albinism	C0001916	[cgab]
alcohol abuse or dependence	1	Dependence	C0439857	[mobd]
alcohol and/or drug abuse	1	DRUG ABUSE	C0013146	[mobd]
alcohol and/or substance abuse or dependence	1	Dependence	C0439857	[mobd]
alcohol or drug abuse or dependence	1	Dependence	C0439857	[mobd]
alcohol or drug abuse/dependence	1	Dependence	C0439857	[mobd]
alcohol or drugs abuse	1	ABUSE	C0013146	[mobd]
alcohol or other drug dependence	1	DRUG DEPENDENCE	C1510472	[mobd]
alcohol or other substance dependence	1	Substance Dependence	C0038580	[mobd]
alcohol or substance abuse/dependence	1	Dependence	C0439857	[mobd]
alcohol or substance dependence	1	Substance Dependence	C0038580	[mobd]
"alcohol, cotinine or drugs of abuse"	1	ABUSE	C0013146	[mobd]
alcohol/substance abuse	1	alcohol substance abuse	C0085762	[mobd]
alcoholism or drug addiction	1	"Addiction, Drug"	C1510472	[mobd]
alkaline phosphatase ( ap )	1	ALKALINE PHOSPHATASE	C0002059	"[aapp, enzy]"
alkaline phosphates	1	Phosphates	C0031603	"[inch, phsu]"
alleges	1	unmapped	unmapped	unmapped
allergic reaction	1	Allergic Reaction	C1527304	[patf]
allergies	1	Allergies	C0020517	[patf]
allergy or adverse reaction	1	ADVERSE REACTION	C0559546	[patf]
allergy/intolerance	1	allergy intolerance	C3242269	[fndg]
alp	1	ALP	C3812647	[gngm]
alpha- 1 blockers	1	alpha blockers	C0001641	[phsu]
alterations of mental status	1	Mental status	C0278060	[fndg]
altered cerebral metabolism	1	Metabolism	C0025519	[orgf]
altered consciousness	1	Altered consciousness	C0234428	[sosy]
alternagel	1	Alternagel	C0718434	"[inch, phsu]"
alu-tab	1	Alu-Tab	C0718439	"[inch, phsu]"
alzheimer's disease and related disorders association ( adrda )	1	Disorders Association	C1511978	[tmco]
alzheimer's disease and related disorders association (adrda)	1	Disorders Association	C1511978	[tmco]
alzheimer's disease assessment scale - japan cognitive subscale ( adas-j cog ) score	1	SCORE	C0449820	[qnco]
alzheimer's disease assessment scale cognitive subscale (adas-cog) score	1	Cognitive	C1516691	[ftcn]
alzheimer's disease therapy	1	Therapy	C0087111	[topp]
alzheimer's disease/dementia	1	dementia	C0011265	[mobd]
"alzheimer's early-stage, sporadic-type"	1	TYPE	C0332307	[qlco]
alzheimer's therapy	1	Therapy	C0087111	[topp]
alzheimer's-like dementia	1	Alzheimer dementia	C0002395	[dsyn]
alzheimers disease (ad)	1	Alzheimer's Disease	C1521724	[patf]
alzheimers disease therapies	1	Therapies	C0087111	[topp]
amantadin	1	unmapped	unmapped	unmapped
amentia	1	AMENTIA	C0497327	[mobd]
american heart association-american stroke association ( aha-asa ) criteria	1	Criteria	C0243161	[inpr]
amitryptiline	1	AMITRIPTYLINE	C0002600	"[orch, phsu]"
amnestic mild cognitive impairment	1	"Cognitive impairment, mild"	C1270972	[mobd]
amnestic mild cognitive impairment ( amci )	1	"Cognitive impairment, mild"	C1270972	[mobd]
amnestic or multi-domain mci	1	mCi	C0560005	[qnco]
amnestic or non-amnestic mild cognitive impairment	1	"Cognitive impairment, mild"	C1270972	[mobd]
amphetamine mixed salts	1	Salts	C0036140	[chvs]
amphetamine product	1	Product	C1514468	[enty]
amphetamines	1	AMPHETAMINES	C0002667	"[bacs, orch, phsu]"
amphojel	1	Amphojel	C0718497	"[inch, phsu]"
amyloid (a)-beta	1	Beta	C2004068	[qlco]
amyloid imaging	1	Imaging	C0011923	[diap]
amyloid imaging scan	1	Scan	C0441633	[diap]
amyloid imaging with florbetapir	1	florbetapir	C2742211	[orch]
amyloid pet	1	Pet	C0031268	[anim]
amyloid pet status	1	Status	C0449438	[qlco]
amyloid targeting therapy	1	Therapy	C0087111	[topp]
amyotrophic lateral sclerosis	1	AMYOTROPHIC LATERAL SCLEROSIS	C0002736	[dsyn]
anaesthesia	1	anaesthesia	C0002903	[topp]
anaphylactic reaction	1	ANAPHYLACTIC REACTION	C0002792	[patf]
anesthesia	1	anaesthesia	C0002903	[topp]
aneurysm	1	ANEURYSM	C0002940	[dsyn]
angina at rest	1	Rest	C0035253	[dora]
angina pectoris	1	ANGINA PECTORIS	C0002962	[fndg]
antacids	1	ANTACIDS	C0003138	[phsu]
anti-amyloid mabs	1	MAb	C0003250	"[aapp, imft]"
anti-amyloid monoclonal antibodies [mabs]	1	monoclonal	C0746619	[fndg]
anti-angina medication	1	Medication	C0013227	[phsu]
anti-arrhythmic agent	1	anti arrhythmic agent	C0301380	[phsu]
anti-asthmatic medication ( s )	1	S'	C2603362	[clna]
anti-cd20 therapy	1	Therapy	C0087111	[topp]
anti-coagulant agent	1	Agent	C1254351	[phsu]
anti-coagulant therapy	1	Therapy	C0087111	[topp]
anti-dementia drugs	1	ANTI-DEMENTIA DRUGS	C3653789	[phsu]
anti-dementiva	1	unmapped	unmapped	unmapped
anti-depressant	1	unmapped	unmapped	unmapped
anti-depressant medications	1	Medications	C2598133	[clna]
anti-epileptic medications	1	Medications	C2598133	[clna]
anti-epileptics	1	Anti-epileptic	C0003299	[phsu]
anti-il-1	1	IL1	C1702299	"[aapp, bacs]"
anti-platelet agent	1	Agent	C0450442	[chvf]
anti-platelet medications	1	Medications	C2598133	[clna]
anti-platelet or anticoagulant therapy	1	Anticoagulant therapy	C0150457	[topp]
anti-psychotic drugs	1	Drugs	C0013227	[phsu]
anti-psychotic medications	1	Medications	C2598133	[clna]
anti-psychotics	1	Psychotic NOS	C0004936	[mobd]
anti-tnf	1	TNF	C1448177	"[aapp, bacs]"
anti-ulcer antacids	1	ANTACIDS	C0003138	[phsu]
anticholinergic drugs	1	Anticholinergic Drugs	C0242896	[phsu]
anticholinergic effects	1	Effects	C1280500	[qlco]
anticholinergic medication	1	Anticholinergic Medication	C0242896	[phsu]
anticholinesterase drugs	1	"Drugs, Anticholinesterase"	C0008425	"[orch, phsu]"
anticholinesterasic treatments	1	Treatments	C0087111	[topp]
anticoagulant therapy	1	Anticoagulant therapy	C0150457	[topp]
antidepressant medication	1	Antidepressant Medication	C0003289	[phsu]
antidepressant medications	1	Antidepressant Medications	C0003289	[phsu]
antidepressive treatment	1	Treatment	C0087111	[topp]
antidepressives	1	Antidepressive	C0003289	[phsu]
antiepileptic drug (aed)	1	Anti-epileptic Drug	C3537002	[phsu]
antihypertensive medication	1	Antihypertensive Medication	C0003364	[phsu]
antihypertensive therapy	1	Antihypertensive therapy	C0585941	[topp]
antihypertensives	1	ANTIHYPERTENSIVES	C0003364	[phsu]
antimalarial agents	1	ANTIMALARIAL AGENTS	C0003374	[phsu]
antimicrobial therapy	1	Therapy	C0087111	[topp]
antimycotics of the azol-type	1	TYPE	C0332307	[qlco]
antiparkinsonian agents	1	ANTIPARKINSONIAN AGENTS	C0003405	[phsu]
antiphospholipid syndrome	1	Antiphospholipid Syndrome	C0085278	[dsyn]
antiplatelet drugs	1	Anti-platelet drugs	C2963157	[phsu]
antiplatelets	1	unmapped	unmapped	unmapped
antipsychotic drugs	1	Antipsychotic drugs	C0040615	[phsu]
antipsychotic medications	1	Antipsychotic Medications	C1548819	[hlca]
antipsychotics medications	1	antipsychotics Medications	C0040615	[phsu]
antipsychotics/neuroleptics	1	Neuroleptics	C0040615	[phsu]
anxiety disorders	1	ANXIETY DISORDERS	C0003469	[mobd]
anxiety/insomnia	1	INSOMNIA	C0917801	[sosy]
aortic and mitral stenosis	1	Mitral stenosis	C0264766	[dsyn]
aortic aneurysm	1	AORTIC ANEURYSM	C0003486	[dsyn]
apathy evaluation scale ( aes ) score	1	Scale Score	C4049715	[inpr]
apathy scale	1	Scale	C0349674	[inpr]
apoe 4 allele	1	Apo E 4 Allele	C3642141	[gngm]
apolipoprotein e	1	Apolipoprotein E	C0003595	"[aapp, bacs]"
appetite depressants	1	Appetite Depressants	C0003620	[phsu]
approved ad medications	1	Medications	C2598133	[clna]
approved medication	1	Medication	C0013227	[phsu]
approved treatments	1	Treatments	C0087111	[topp]
arachnoid cyst	1	Arachnoid Cyst	C0078981	[dsyn]
arrhythmia tendency	1	Arrythmia	C0003811	[fndg]
arteriosclerosis	1	ARTERIOSCLEROSIS	C0003850	[dsyn]
asa	1	ASA	C0004057	"[orch, phsu]"
asat/alat	1	ASAT	C1412073	[gngm]
aspartate aminotransferase (ast)	1	AST	C3891303	[tmco]
aspartate transaminase ( ast )	1	Aspartate Transaminase	C0004002	"[aapp, enzy]"
aspirin containing products	1	Containing	C0332256	[ftcn]
assessments	1	assessments	C1261322	[hlca]
associated cognitive symptoms	1	Cognitive Symptoms	C0525041	[sosy]
"asymptomatic, seasonal allergies"	1	SEASONAL ALLERGIES	C0018621	[dsyn]
asymptomatice bifascicular block	1	BIFASCICULAR BLOCK	C0264914	[dsyn]
at iii deficiency	1	ATIII deficiency	C0272375	[dsyn]
atherosclerosis	1	ATHEROSCLEROSIS	C0004153	[dsyn]
atopic dermatitis	1	ATOPIC DERMATITIS	C0011615	[dsyn]
atorvastatin	1	ATORVASTATIN	C0286651	"[orch, phsu]"
atrial ectopic beats	1	Atrial Ectopic Beats	C0033036	[fndg]
atrial fibrillation of unstable angina	1	"Angina, Unstable"	C0002965	[dsyn]
atrio-ventricular [av] block	1	Block	C2828370	[qnco]
atrio-ventricular [av] block second degree or higher	1	Higher	C0205250	[qlco]
atrio-ventricular block	1	Block	C2828370	[qnco]
atrophy	1	ATROPHY	C0333641	[patf]
attention deficit disorder	1	Attention deficit disorder	C0339002	[mobd]
atypical ad	1	Atypical	C0741302	[fndg]
atypical dementia	1	dementia	C0011265	[mobd]
auditory and/or visual impairment	1	VISUAL IMPAIRMENT	C3665347	[fndg]
auditory deficits	1	deficits	C2987487	[qlco]
autoimmune	1	Autoimmune	C0443146	[patf]
autoimmune or neuro-immunologic disorder	1	immunologic disorder	C0021053	[dsyn]
autoimmune or neuroimmunologic disorder	1	Disorder	C0012634	[dsyn]
axis 1 psychiatric disorders	1	Psychiatric Disorders	C0004936	[mobd]
axis i psychiatric diagnoses	1	Psychiatric	C0205487	[ftcn]
axis i psychiatric disorder	1	Psychiatric Disorder	C0004936	[mobd]
b cell absolute counts	1	ABSOLUTE	C0205344	[qlco]
b surface antigen	1	Surface Antigen	C0003339	[imft]
b12 or folate deficiency	1	FOLATE DEFICIENCY	C0016412	[dsyn]
bacterial infection	1	Bacterial Infection	C0004623	[dsyn]
barcelona test ii	1	test	C0392366	[inpr]
basal cell or squamous cell cancer	1	Squamous Cell Cancer	C0007137	[neop]
basal cell or squamous cell cancer of the skin	1	Skin	C0444099	[bdsu]
basal cell or squamous cell carcinoma of the skin	1	Skin	C0444099	[bdsu]
basal cell or squamous cell skin cancer	1	"skin cancer, squamous cell"	C0553723	[neop]
basal or squamous cell carcinoma	1	Squamous cell carcinoma	C1302853	[neop]
basal or squamous cell carcinoma in situ of the skin	1	Skin	C0444099	[bdsu]
basal or squamous cell skin cancer	1	"skin cancer, squamous cell"	C0553723	[neop]
baseline electroencephalogram	1	Electro-Encephalogram	C1547121	[spco]
baseline eye exam	1	Eye Exam	C0200149	[topp]
baseline physical examination	1	PHYSICAL EXAMINATION	C0031809	[hlca]
be venipunctured	1	Venipuncture	C0600406	[diap]
beck depression inventory	1	Beck Depression Inventory	C0451022	[inpr]
behave-ad global rating	1	Rating	C0871208	[acty]
behave-ad psychosis subscale	1	Psychosis NOS	C0349204	[mobd]
behave-ad total score	1	Total Score	C2964552	[qnco]
behavior disturbances	1	behavior disturbances	C0149623	[mobd]
behavior or laboratory abnormality	1	Laboratory abnormality	C4021768	[fndg]
behavioral and psychological symptoms	1	psychological symptoms	C0233397	[sosy]
behavioral dysfunction	1	Dysfunction	C0277785	[patf]
behavioral medications	1	Medications	C2598133	[clna]
behavioral pathology in alzheimer's disease rating scale score	1	Scale Score	C4049715	[inpr]
behavioral symptoms	1	Behavioral Symptoms	C0004941	[sosy]
behavioural or cognitive symptoms	1	Cognitive Symptoms	C0525041	[sosy]
benign lesions	1	lesions	C0221198	[fndg]
benign prostatic hypertrophy	1	Benign Prostatic Hypertrophy	C0005001	[patf]
benton visual retention	1	retention	C1753315	[celf]
benzodiazepine	1	Benzodiazepine	C0005064	"[orch, phsu]"
benzodiazepine addiction	1	ADDICTION	C0085281	[mobd]
bepridil	1	BEPRIDIL	C0005116	"[orch, phsu]"
beta amyloid imaging scan	1	Scan	C0441633	[diap]
beta blockers	1	Beta blockers	C0001645	[phsu]
beta secretase cleaving enzyme ( bace ) inhibitors	1	inhibitors	C0243077	[chvf]
beta-blocker	1	Beta Blocker	C0001645	[phsu]
beta2 adrenergic drug	1	Adrenergic drug	C0001637	[phsu]
binswanger's disease	1	Binswanger Disease	C0270786	[dsyn]
biologic	1	Biologic	C0205460	[qlco]
"biologic, therapeutic device"	1	Therapeutic Device	C0336568	[medd]
biomarkers	1	Biomarkers	C0005516	[clna]
bipolar 1 disorder	1	Bipolar 1 disorder	C0853193	[mobd]
black-outs	1	black outs	C0312422	[sosy]
bladder outlet obstruction	1	Bladder Outlet Obstruction	C0005694	[dsyn]
bleeding diathesis	1	bleeding diathesis	C0005779	[dsyn]
bleeding of unclear origin or of blood clotting	1	Blood clotting	C0005778	[ortf]
blind	1	BLIND	C0150108	[resa]
blood analyses	1	Blood--Analysis	C0018941	[lbpr]
blood borne disease	1	Bear	C0004897	[mamm]
blood clotting	1	Blood clotting	C0005778	[ortf]
blood coagulation disorder	1	BLOOD COAGULATION DISORDER	C0005779	[dsyn]
blood components	1	blood components	C0085430	[topp]
blood draws	1	blood draws	C0190979	[diap]
blood glucose	1	Blood Glucose	C0005802	[orch]
blood or csf sampling	1	Sampling	C0870078	[idcn]
blood samples	1	blood samples	C0178913	[bdsu]
blood supply	1	blood supply	C0678861	[phsf]
blood work screen	1	screen	C1305399	[ftcn]
"blood, kidney, glandular, lung, stomach, intestine, heart, blood vessel, liver, psychiatric, nerve or allergic problems"	1	Problems	C1546466	[idcn]
blot clots	1	Clots	C0302148	[bdsu]
body mass index (bmi)	1	Body mass index	C0005893	[diap]
body tattoos	1	Tattoos	C1366940	[fndg]
bp	1	Bp	C1415692	[gngm]
bp measurements	1	measurements	C0242485	[ftcn]
brain abnormalities	1	brain Abnormalities	C0266449	[cgab]
brain abnormality	1	brain ABNORMALITY	C0266449	[cgab]
brain amyloid pathology	1	Amyloid	C0011560	[patf]
brain atrophy	1	Brain atrophy	C0235946	[dsyn]
brain ct	1	brain ct	C0412585	[diap]
brain diseases	1	Brain Diseases	C0006111	[dsyn]
brain disorders	1	Brain Disorders	C0006111	[dsyn]
brain dopamine	1	DOPAMINE	C0013030	"[bacs, orch, phsu]"
brain herniation	1	"Herniation, brain"	C0553686	[anab]
brain image	1	Image	C1704922	[enty]
brain imaging	1	Imaging	C0079595	[diap]
brain imaging studies	1	Imaging Study	C1881134	[diap]
brain infarction	1	Brain Infarction	C0751955	[dsyn]
brain injuries	1	Brain Injuries	C0270611	[inpo]
brain lesions	1	brain lesions	C0221505	[dsyn]
brain mri scan	1	MRI scan	C0917711	[qnco]
brain mri scans	1	MRI Scans	C0917711	[qnco]
brain tumour	1	Brain tumour	C0006118	[neop]
brain vascular disease	1	Brain Vascular disease	C0007820	[dsyn]
brain vascular disturbance	1	Disturbance	C2699787	[qlco]
brazilian version of the clinical dementia rating	1	Rating	C0871208	[acty]
brief praxis test	1	test	C0392366	[inpr]
broccoli	1	broccoli	C1095887	"[orch, phsu]"
bromide	1	Bromide	C0006222	[inch]
bronchospasm	1	BRONCHOSPASM	C0006266	[dsyn]
brussel sprouts	1	brussel sprouts	C0330501	[food]
bun	1	unmapped	unmapped	unmapped
bupropion treatment	1	Treatment	C0087111	[topp]
buschke-fuld	1	unmapped	unmapped	unmapped
buspirone	1	BUSPIRONE	C0006462	"[orch, phsu]"
butyrophenones	1	Butyrophenones	C0006525	"[orch, phsu]"
cad	1	CAD	C3813548	[gngm]
caffeine containing beverages	1	Beverages	C0005329	[food]
calcium channel blocker	1	Calcium Channel Blocker	C2757014	[moft]
cancer in treatment	1	Treatment	C0087111	[topp]
cancer of reproductive tissues	1	Tissues	C0040300	[tisu]
cancer therapy	1	Cancer Therapy	C0920425	[topp]
cancer treatment	1	Cancer Treatment	C0920425	[topp]
cancers	1	Cancer	C1306459	[neop]
cannabis	1	Cannabis	C0700268	[plnt]
carbamazepin	1	CARBAMAZEPINE	C0006949	"[orch, phsu]"
carbidopa	1	CARBIDOPA	C0006982	"[orch, phsu]"
carbonic anhydrase inhibitors	1	CARBONIC ANHYDRASE INHIBITORS	C0007036	[phsu]
carcinoma in situ	1	CARCINOMA IN SITU	C0007099	[neop]
carcinoma in situ of the cervix	1	CERVIX	C0007874	[bpoc]
cardiac abnormalities	1	Cardiac abnormalities	C0018798	[cgab]
cardiac conduction abnormalities	1	Cardiac conduction abnormalities	C1842820	[fndg]
cardiac dysfunction	1	Cardiac dysfunction	C3277906	[fndg]
cardiac enzyme elevation	1	Cardiac Enzyme Elevation	C1707297	[fndg]
cardiac failure	1	CARDIAC FAILURE	C0018801	[dsyn]
cardiac pace maker	1	Maker NOS	C0554244	[prog]
cardiac problems	1	cardiac problems	C0262402	[fndg]
cardiac status	1	Cardiac Status	C1999091	[fndg]
"cardiac, hepatic or renal impairment"	1	Renal Impairment	C1565489	[dsyn]
"cardiac, pulmonary, renal, hepatic, endocrine, hematologic or active malignancy"	1	MALIGNANCY	C0006826	[neop]
"cardiac, pulmonary, renal, hepatic, endocrine, or other systemic disease"	1	Systemic Disease	C0442893	[dsyn]
"cardiac, respiratory, gastrointestinal, renal disease"	1	"RENAL DISEASE, NOS"	C0022658	[dsyn]
"cardiac, vascular, pulmonary, gastrointestinal, endocrine, neurologic, hematologic, rheumatologic, psychiatric or metabolic disturbances"	1	metabolic disturbance	C0746556	[dsyn]
"cardiac, vascular, pulmonary, gastrointestinal, endocrine, neurologic, hematologic, rheumatologic, psychiatric, dermatological ( at the puncture site ) or metabolic disturbances"	1	metabolic disturbance	C0746556	[dsyn]
cardiomyopathy	1	CARDIOMYOPATHY	C0878544	[dsyn]
cardiopathy	1	Cardiopathy	C0018799	[dsyn]
cardiopulmonary disease	1	cardiopulmonary disease	C0034072	[dsyn]
cardiovascular diseases	1	Cardiovascular Diseases	C0007222	[dsyn]
cardiovascular events	1	cardiovascular events	C1320716	[fndg]
cardiovascular illnesses	1	illnesses	C0221423	[sosy]
cardiovascular or cerebrovascular disease	1	CEREBROVASCULAR DISEASE	C0007820	[dsyn]
"cardiovascular, gastro-intestinal, hepatic or renal disease"	1	"RENAL DISEASE, NOS"	C0022658	[dsyn]
"cardiovascular, hepatic, renal, gastroenterologic, respiratory, endocrinologic, neurologic, psychiatric, immunologic or hematologic disease"	1	Hematologic Disease	C0018939	[dsyn]
"cardiovascular, hepatic, renal, respiratory, endocrine, neurological or hematological disease"	1	Hematological Disease	C0018939	[dsyn]
